Time Step,Simulated Decay,Theoretical Decay
455,912,916.9166410490951
456,912,916.7418617287623
457,912,916.5671157242286
458,912,916.3924030291438
459,912,916.2177236371584
460,912,916.0430775419245
461,912,915.8684647370949
462,912,915.6938852163241
463,912,915.5193389732676
464,912,915.3448260015821
465,912,915.1703462949255
466,912,914.9958998469568
467,912,914.8214866513367
468,912,914.6471067017266
469,912,914.4727599917891
470,912,914.2984465151883
471,912,914.1241662655895
472,912,913.949919236659
473,912,913.7757054220642
474,910,913.6015248154741
475,910,913.427377410559
476,910,913.2532632009894
477,910,913.0791821804384
478,910,912.9051343425792
479,910,912.7311196810869
480,910,912.5571381896375
481,910,912.383189861908
482,909,912.2092746915772
483,909,912.0353926723245
484,909,911.8615437978309
485,908,911.6877280617783
486,908,911.5139454578502
487,908,911.340195979731
488,908,911.1664796211064
489,908,910.9927963756631
490,908,910.8191462370894
491,908,910.6455291990745
492,908,910.4719452553088
493,908,910.2983943994842
494,907,910.1248766252935
495,906,909.9513919264307
496,905,909.7779402965912
497,904,909.6045217294715
498,904,909.4311362187693
499,904,909.2577837581836
500,904,909.0844643414142
501,904,908.9111779621628
502,904,908.7379246141317
503,904,908.5647042910246
504,904,908.3915169865463
505,904,908.2183626944031
506,904,908.0452414083024
507,904,907.8721531219526
508,904,907.6990978290632
509,903,907.5260755233453
510,902,907.353086198511
511,901,907.1801298482736
512,901,907.0072064663477
513,901,906.8343160464489
514,901,906.661458582294
515,901,906.4886340676012
516,901,906.3158424960897
517,901,906.1430838614801
518,901,905.970358157494
519,900,905.7976653778545
520,900,905.6250055162855
521,900,905.4523785665122
522,900,905.2797845222613
523,899,905.1072233772601
524,899,904.9346951252379
525,899,904.7621997599246
526,899,904.5897372750513
527,899,904.4173076643506
528,897,904.2449109215561
529,897,904.0725470404027
530,897,903.9002160146264
531,897,903.7279178379644
532,897,903.5556525041551
533,897,903.3834200069382
534,897,903.2112203400543
535,897,903.0390534972456
536,897,902.8669194722554
537,897,902.6948182588279
538,896,902.5227498507087
539,896,902.3507142416446
540,896,902.1787114253834
541,895,902.0067413956746
542,895,901.8348041462683
543,895,901.6628996709161
544,894,901.4910279633707
545,894,901.319189017386
546,894,901.1473828267173
547,893,900.9756093851206
548,893,900.8038686863536
549,893,900.6321607241748
550,893,900.4604854923442
551,893,900.2888429846231
552,893,900.1172331947733
553,892,899.9456561165586
554,892,899.7741117437432
555,892,899.6026000700934
556,892,899.431121089376
557,892,899.259674795359
558,892,899.0882611818121
559,892,898.9168802425057
560,892,898.7455319712116
561,892,898.5742163617026
562,892,898.402933407753
563,891,898.2316831031382
564,891,898.0604654416344
565,891,897.8892804170196
566,891,897.7181280230725
567,891,897.5470082535732
568,891,897.3759211023028
569,891,897.204866563044
570,891,897.0338446295802
571,889,896.8628552956965
572,889,896.6918985551785
573,889,896.5209744018135
574,889,896.35008282939
575,889,896.1792238316974
576,888,896.0083974025266
577,888,895.8376035356692
578,888,895.6668422249186
579,888,895.4961134640688
580,888,895.3254172469155
581,888,895.1547535672552
582,888,894.9841224188857
583,888,894.8135237956061
584,888,894.6429576912165
585,887,894.4724240995183
586,887,894.3019230143141
587,885,894.1314544294077
588,885,893.9610183386037
589,885,893.7906147357086
590,885,893.6202436145292
591,885,893.4499049688743
592,885,893.2795987925535
593,885,893.1093250793776
594,885,892.9390838231585
595,885,892.7688750177095
596,885,892.5986986568448
597,884,892.4285547343801
598,884,892.258443244132
599,883,892.0883641799184
600,883,891.9183175355582
601,883,891.7483033048721
602,883,891.5783214816811
603,883,891.4083720598079
604,883,891.2384550330764
605,883,891.0685703953116
606,883,890.8987181403393
607,883,890.7288982619871
608,883,890.5591107540835
609,882,890.389355610458
610,882,890.2196328249414
611,882,890.049942391366
612,882,889.8802843035648
613,882,889.7106585553721
614,882,889.5410651406236
615,882,889.371504053156
616,882,889.2019752868069
617,881,889.0324788354156
618,881,888.8630146928226
619,881,888.6935828528689
620,881,888.5241833093974
621,880,888.3548160562515
622,880,888.1854810872763
623,880,888.0161783963181
624,880,887.846907977224
625,879,887.6776698238424
626,879,887.5084639300231
627,879,887.3392902896168
628,879,887.1701488964756
629,879,887.0010397444522
630,879,886.8319628274014
631,879,886.6629181391786
632,879,886.4939056736403
633,879,886.3249254246444
634,879,886.15597738605
635,879,885.9870615517171
636,879,885.8181779155072
637,879,885.6493264712827
638,879,885.4805072129072
639,878,885.3117201342459
640,877,885.1429652291644
641,876,884.9742424915302
642,876,884.8055519152114
643,876,884.6368934940778
644,876,884.4682672219998
645,876,884.2996730928494
646,876,884.1311111004998
647,876,883.962581238825
648,875,883.7940835017004
649,875,883.6256178830025
650,875,883.457184376609
651,875,883.288782976399
652,875,883.1204136762523
653,875,882.9520764700501
654,875,882.7837713516749
655,875,882.6154983150101
656,875,882.4472573539405
